[1] D=-5+-(-(3*(-4))) | D=-17 | Assignment
[2] PRINT(D) | D=-17 | Print
[3] A=3 | A=3 D=-17 | Assignment
[4] B=2 | A=3 B=2 D=-17 | Assignment
[5] PRINT(A) | A=3 B=2 D=-17 | Print
[6] PRINT(-------A) | A=3 B=2 D=-17 | Print
[7] PRINT(B) | A=3 B=2 D=-17 | Print
[8] PRINT(A^A^B) | A=3 B=2 D=-17 | Print
[9] PRINT(A^(A^B)) | A=3 B=2 D=-17 | Print
[10] PRINT((A^A)^B) | A=3 B=2 D=-17 | Print
[11] PRINT(A) | A=3 B=2 D=-17 | Print
[12] A=A*2 | A=6 B=2 D=-17 | Assignment
[13] PRINT(A) | A=6 B=2 D=-17 | Print
[14] PRINT((-(-5*-1))^2-4/2) | A=6 B=2 D=-17 | Print
[15] PRINT((-1)^2) | A=6 B=2 D=-17 | Print
[16] PRINT((-1)^3) | A=6 B=2 D=-17 | Print
